code_departement,prix_m2_median_tous,nb_transactions,prix_m2_median_maison,prix_m2_median_appart,annee
01,2357.083333333333,6537,2234.931506849315,2704.423076923077,2020
02,1323.125,5100,1244.431818181818,2251.8132768627456,2020
03,1244.4444444444443,4665,1169.2307692307693,1510.8527131782946,2020
04,2168.270565374294,2196,2307.692307692308,1982.7586206896551,2020
05,2370.731707317073,2323,2395.294117647059,2350.0,2020
06,4261.9047619047615,15734,4628.777777777777,4166.666666666667,2020
07,1996.6666666666667,3657,1953.125,2096.006144393242,2020
08,1234.6938775510205,2313,1196.4151548469856,1439.0243902439024,2020
09,1456.25,2073,1384.6153846153843,1933.3333333333333,2020
10,1465.1162790697674,3161,1410.46875,1573.80174291939,2020
11,1787.6712328767123,5189,1700.0,2136.458333333333,2020
12,1523.2877406281664,3082,1389.5,1836.065573770492,2020
13,3390.6882591093117,19204,3825.0,3098.3606557377047,2020
14,2260.4166666666665,10635,2022.47191011236,2805.0706033376123,2020
15,1330.357142857143,1613,1234.567901234568,1541.440846001322,2020
16,1375.0,4413,1345.982142857143,1696.278825995807,2020
17,2392.233009708738,9887,2159.0,3750.0,2020
18,1268.0115896903649,3558,1200.0,1553.1914893617022,2020
19,1416.6666666666667,3107,1373.6666666666665,1527.7777777777778,2020
21,2175.139288592149,6388,1879.3103448275865,2453.125,2020
22,1619.047619047619,8879,1562.5,2128.274231678487,2020
23,898.3333333333334,1550,880.5970149253732,1153.8461538461538,2020
24,1545.4545454545455,6423,1515.1515151515152,1804.0935672514622,2020
25,1967.8277108433736,5669,1875.0,2062.651,2020
26,2192.3076923076924,5571,2263.736263736264,1979.084967320261,2020
27,1820.5128205128208,8109,1801.7927927927929,2068.9655172413795,2020
28,1812.5,5096,1740.0,2222.222222222222,2020
29,1767.991071428571,12222,1750.0,1814.1129943502824,2020
2A,3565.6275635767024,1280,3787.878787878788,3440.860215053764,2020
2B,2875.03125,1339,2785.4329710144925,2920.909090909091,2020
30,2345.454545454545,8735,2323.5828877005347,2403.9310344827586,2020
31,2727.2727272727275,14220,2565.1315789473683,2941.176470588235,2020
32,1566.7146196727206,2218,1508.2219251336896,2000.0,2020
33,3258.022103960396,17882,2933.043478260869,3823.529411764706,2020
34,2904.7619047619046,14991,2688.1720430107525,3125.0,2020
