code_commune,nom_commune,code_departement,latitude,longitude,commune_prix_m2,commune_volume,commune_prix_m2_maison,commune_volume_maison,commune_prix_m2_appart,commune_volume_appart,dept_prix_m2,dept_prix_m2_maison,dept_prix_m2_appart,commune_prix_m2_2020,commune_prix_m2_2024,evolution_5ans_pct,commune_prix_m2_2023,evolution_1an_pct,population_2023,evolution_pop_5_ans,evolution_pop_10_ans,revenu_median,taux_pauvrete,nb_equipements_total,equipements_par_1000_habitants,nb_equipements_dom_C,nb_equipements_dom_D,nb_equipements_dom_B,taux_cambriolages,taux_vols_total,taux_violences_total,distance_gare_km,gare_moins_5km,gare_moins_10km,score_immobilier,score_dynamisme,score_revenus,score_equipements,score_securite,score_transport,score_attractivite
01001,L'Abergement-Clémenciat,01,46.149335,4.923909,2504.9753879948616,59,2479.7494968372625,59.0,2943.6619718309857,,2624.447729710821,2500.0,2943.6619718309857,1700.6369426751592,3212.087912087912,88.9,2345.132743362832,37.0,860.0,0.1154345006485084,0.121251629726206,25820.0,,84.0,97.67441860465117,3.0,0.0,0.0,7.967921,7.169056100000001,5.4752171,10.1,0.0,0.0,47.3,93.4,87.3,22.4,15.9,40.7,57.0
01002,L'Abergement-de-Varey,01,46.005779,5.425593,2260.1865540461754,21,2111.670353982301,17.0,3149.302513646472,4.0,2624.447729710821,2500.0,2943.6619718309857,2022.9088345864661,1941.5584415584417,-4.0,1913.1141439205956,1.5,270.0,0.067193675889328,0.1440677966101695,24480.0,,28.0,103.7037037037037,0.0,3.0,0.0,7.967921,2.404332,1.3785446,6.6,0.0,1.0,26.6,83.8,77.1,26.7,62.7,59.9,55.1
01004,Ambérieu-en-Bugey,01,45.95825,5.354447,2419.2972616454194,1235,2428.0074271057892,602.0,2412.5847678664577,633.0,2624.447729710821,2500.0,2943.6619718309857,2120.6107575757574,2343.968023255814,10.5,2585.576923076923,-9.3,15934.0,0.1217966769923965,0.109687304129814,21660.0,17.0,3152.0,197.81599096272123,42.0,759.0,429.0,8.1521357,15.6314771,15.0621312,1.0,1.0,1.0,31.4,94.1,28.9,80.3,2.1,93.8,54.1
01005,Ambérieux-en-Dombes,01,45.9964,4.905239,2902.2516709600695,197,3044.3081806377145,130.0,2796.7742089392723,67.0,2624.447729710821,2500.0,2943.6619718309857,2789.4736842105262,2784.244871794872,-0.2,3200.0,-13.0,1906.0,0.1081395348837209,0.1657492354740061,24610.0,,312.0,163.69359916054566,3.0,39.0,27.0,9.7724619,7.169056100000001,5.4752171,7.6,0.0,1.0,19.5,92.4,78.3,67.2,12.2,53.9,55.7
01006,Ambléon,01,45.74975,5.601138,2233.9410365725826,15,2208.193041526375,12.0,2710.4045843689582,3.0,2624.447729710821,2500.0,2943.6619718309857,2326.9791666666665,,,,,115.0,0.0267857142857142,0.0648148148148148,24210.0,,16.0,139.1304347826087,0.0,0.0,0.0,0.0,6.0575583,4.0966725,11.8,0.0,0.0,,65.7,74.5,52.6,70.7,33.5,
01007,Ambronay,01,46.004812,5.360055,2414.3438731144265,177,2456.5734490517516,168.0,2583.3232151529864,9.0,2624.447729710821,2500.0,2943.6619718309857,1942.8064516129032,2509.5419847328244,29.2,2594.6226975638738,-3.3,2841.0,0.0282301845819761,0.1350379544546544,24860.0,,368.0,129.53185498064062,6.0,60.0,18.0,10.7509282,9.0176695,5.4752171,1.9,1.0,1.0,40.3,66.5,80.6,46.2,8.6,89.8,56.3
01008,Ambutrix,01,45.939155,5.338805499999999,2419.50332439712,42,2386.753921841641,42.0,2943.6619718309857,,2624.447729710821,2500.0,2943.6619718309857,1475.4098360655737,1917.8082191780825,30.0,2625.0,-26.9,760.0,0.0066225165562913,0.021505376344086,26300.0,,144.0,189.47368421052636,3.0,3.0,15.0,7.967921,7.169056100000001,2.7757036,1.6,1.0,1.0,40.5,52.5,89.7,77.7,26.4,91.1,62.0
01009,Andert-et-Condon,01,45.78593,5.6555915,2223.20623078069,38,2312.03007518797,30.0,2350.0971223332626,8.0,2624.447729710821,2500.0,2943.6619718309857,1658.125,1742.4242424242425,5.1,2218.0451127819547,-21.4,348.0,0.074074074074074,0.0326409495548961,24810.0,,20.0,57.47126436781609,0.0,0.0,6.0,7.967921,3.6532263,4.0966725,7.0,0.0,1.0,32.3,85.9,80.2,4.2,38.2,57.4,51.5
01010,Anglefort,01,45.913498,5.808787000000001,2367.7796271128705,91,2311.843346964454,70.0,3051.8082290036514,21.0,2624.447729710821,2500.0,2943.6619718309857,1650.0,2589.719742063492,57.0,2888.8888888888887,-10.4,1174.0,0.054806828391734,0.0595667870036101,24700.0,,156.0,132.87904599659285,3.0,6.0,6.0,7.967921,6.0575583,5.4752171,5.8,0.0,1.0,49.6,79.5,79.2,48.4,19.2,64.8,59.8
01011,Apremont,01,46.209123,5.665084,2720.1224514820733,21,2230.769230769231,11.0,3126.101945003353,10.0,2624.447729710821,2500.0,2943.6619718309857,,2058.3320498998924,,2794.2307692307695,-26.3,415.0,0.1126005361930295,0.0532994923857868,24530.0,,44.0,106.02409638554217,3.0,0.0,0.0,7.967921,5.1015269,4.0966725,4.3,1.0,1.0,,93.0,77.6,28.4,30.2,75.1,
