code_commune,prix_m2_median_tous,nb_transactions_tous,prix_m2_median_maison,nb_transactions_maison,prix_m2_median_appart,nb_transactions_appart,annee,nom_commune,code_departement
01001,1700.6369426751592,7,1700.6369426751592,7.0,,,2020,L'Abergement-Clémenciat,01
01004,2120.6107575757574,155,1885.9890109890107,80.0,2260.27397260274,75.0,2020,Ambérieu-en-Bugey,01
01005,2789.4736842105262,23,2761.4035087719294,14.0,2833.333333333333,9.0,2020,Ambérieux-en-Dombes,01
01007,1942.8064516129032,11,2089.28940466824,10.0,1713.235294117647,1.0,2020,Ambronay,01
01009,1658.125,6,2116.25,5.0,909.0909090909092,1.0,2020,Andert-et-Condon,01
01010,1650.0,8,1650.0,8.0,,,2020,Anglefort,01
01012,1400.0,5,1400.0,5.0,,,2020,Aranc,01
01014,1370.3703703703704,17,1837.9329004329006,8.0,1169.811320754717,9.0,2020,Arbent,01
01015,1398.6486486486488,9,1114.942528735632,5.0,2836.95987654321,4.0,2020,Arboys en Bugey,01
01017,927.1964399237127,6,989.00826446281,5.0,740.7407407407408,1.0,2020,Argis,01
01021,3000.0,21,3015.310892940626,16.0,2128.5714285714284,5.0,2020,Ars-sur-Formans,01
01022,1041.6666666666667,9,912.8236245954693,8.0,1075.0,1.0,2020,Artemare,01
01024,1873.7373737373737,21,1873.7373737373737,15.0,2017.721518987342,6.0,2020,Attignat,01
01025,2032.608695652174,43,2032.608695652174,43.0,,,2020,Bâgé-Dommartin,01
01026,1941.7061237373741,10,1941.7061237373741,10.0,,,2020,Bâgé-le-Châtel,01
01027,3197.972972972973,12,3197.972972972973,12.0,,,2020,Balan,01
01028,1487.848217356414,8,1487.848217356414,8.0,,,2020,Baneins,01
01029,1734.720320416267,8,1734.720320416267,8.0,,,2020,Beaupont,01
01030,2236.61971830986,25,1646.0280373831774,10.0,2265.8227848101264,15.0,2020,Beauregard,01
01031,1687.2619047619048,18,2348.5714285714284,10.0,1071.256038647343,8.0,2020,Bellignat,01
01032,2668.125,25,2673.6851415094343,18.0,2237.777777777778,7.0,2020,Béligneux,01
01033,2376.8115942028985,187,2647.7567129629633,62.0,2159.4202898550725,125.0,2020,Valserhône,01
01034,1826.923076923077,133,1755.5028901734104,62.0,2032.5252525252524,71.0,2020,Belley,01
01036,1825.0,23,1825.0,21.0,1767.8571428571427,2.0,2020,Valromey-sur-Séran,01
01038,2558.6614173228345,7,2558.6614173228345,7.0,,,2020,Bény,01
01039,1836.0195360195357,6,1836.0195360195357,6.0,,,2020,Béon,01
01041,1782.051282051282,7,1782.051282051282,7.0,,,2020,Bettant,01
01043,3660.0000000000005,36,3728.7357087357086,28.0,2874.1666666666665,8.0,2020,Beynost,01
01046,2000.0,17,2000.0,17.0,,,2020,Biziat,01
01047,2683.969465648855,14,2683.969465648855,12.0,2552.083333333333,2.0,2020,Blyes,01
01049,3056.3380281690143,29,3225.0,25.0,2080.2972972972975,4.0,2020,La Boisse,01
01050,1600.0,7,1600.0,7.0,,,2020,Boissey,01
01051,2465.909090909091,5,2465.909090909091,5.0,,,2020,Bolozon,01
01053,1825.0,419,1975.247524752476,91.0,1788.3795309168445,328.0,2020,Bourg-en-Bresse,01
01054,2457.627118644068,9,2457.627118644068,9.0,,,2020,Bourg-Saint-Christophe,01
01058,1888.687015503876,6,1888.687015503876,6.0,,,2020,Brégnier-Cordon,01
01061,2370.8602908277408,12,2370.8602908277408,12.0,,,2020,Brens,01
01062,3032.5956937799047,6,2845.454545454545,5.0,3219.736842105264,1.0,2020,Bressolles,01
01063,2332.450704225352,7,3148.5260770975055,4.0,2327.6857142857143,3.0,2020,Brion,01
01064,1933.3333333333333,16,1933.3333333333333,16.0,,,2020,Briord,01
01068,1462.5,15,1429.4875,13.0,3011.6161616161617,2.0,2020,Cerdon,01
01069,2010.6796116504847,11,2029.1493296347662,10.0,1911.971830985916,1.0,2020,Certines,01
01071,4517.786168521463,82,4711.538461538462,35.0,4513.513513513513,47.0,2020,Cessy,01
01072,2554.3669962335225,38,2265.96454058876,20.0,2888.8577827547597,18.0,2020,Ceyzériat,01
01073,2039.5025839793284,12,2039.5025839793284,12.0,,,2020,Ceyzérieu,01
01074,2700.7299270072995,23,2666.555439694126,18.0,2806.451612903226,5.0,2020,Chalamont,01
01075,2341.9739814814816,8,2605.485,7.0,580.6451612903226,1.0,2020,Chaleins,01
01077,2135.135135135135,5,2135.135135135135,5.0,,,2020,Challes-la-Montagne,01
01078,4052.161587526577,10,4439.6551724137935,5.0,3970.5882352941176,5.0,2020,Challex,01
